TaxiId,Latitude,Longitude,Occupied,Time
abgibo,37.78525,-122.46425,1,"""1212548846
"
abgibo,37.78629,-122.46791,1,"""1212531983
"
abgibo,37.78138,-122.47829,1,"""1212531131
"
abgibo,37.74741,-122.48793,1,"""1212522140
"
abgibo,37.76603,-122.46414,1,"""1212520792
"
abgibo,37.7755,-122.48765,1,"""1212510664
"
abgibo,37.78259,-122.50381,1,"""1212510345
"
abgibo,37.7218,-122.46028,1,"""1212491230
"
abgibo,37.72317,-122.39858,1,"""1212490616
"
abgibo,37.71226,-122.40662,1,"""1212490152
"
abgibo,37.72233,-122.39374,1,"""1212489857
"
abgibo,37.78121,-122.45906,1,"""1212486611
"
abgibo,37.72867,-122.46222,1,"""1212482134
"
abgibo,37.73181,-122.4363,1,"""1212481803
"
abgibo,37.73492,-122.4313,1,"""1212472794
"
abgibo,37.75358,-122.45468,1,"""1212470006
"
abgibo,37.76334,-122.4582,1,"""1212469156
"
abgibo,37.76335,-122.46419,1,"""1212468738
"
abgibo,37.7741,-122.46486,1,"""1212468383
"
abgibo,37.7595,-122.46285,1,"""1212467726
"
abgibo,37.77684,-122.45675,1,"""1212407526
"
abgibo,37.77114,-122.45264,1,"""1212407322
"
abgibo,37.74247,-122.49081,1,"""1212396806
"
abgibo,37.73887,-122.41353,1,"""1212376320
"
abgibo,37.76444,-122.45998,1,"""1212310838
"
abgibo,37.74367,-122.42651,1,"""1212305973
"
abgibo,37.74216,-122.42638,1,"""1212305912
"
abgibo,37.71035,-122.4558,1,"""1212303472
"
abgibo,37.78054,-122.47275,1,"""1212302515
"
abgibo,37.78027,-122.48063,1,"""1212302370
"
abgibo,37.74035,-122.4236,1,"""1212258426
"
abgibo,37.78436,-122.47527,1,"""1212217876
"
abgibo,37.76407,-122.46617,1,"""1212208720
"
abgibo,37.76408,-122.46614,1,"""1212208688
"
abgibo,37.78052,-122.45503,1,"""1212128860
"
abgibo,37.76338,-122.46308,1,"""1212109693
"
abgibo,37.76364,-122.4758,1,"""1212109181
"
abgibo,37.76186,-122.47048,1,"""1212071526
"
abgibo,37.74292,-122.47993,1,"""1212069935
"
abgibo,37.76404,-122.50613,1,"""1212047997
"
abgibo,37.76278,-122.45321,1,"""1212047101
"
abgibo,37.78114,-122.48176,1,"""1212045474
"
abgibo,37.71468,-122.44278,1,"""1212043069
"
abgibo,37.78426,-122.48716,1,"""1212031212
"
abgibo,37.77824,-122.48476,1,"""1212030913
"
abgibo,37.76353,-122.45775,1,"""1212013859
"
abgibo,37.74104,-122.46011,1,"""1212013321
"
abgibo,37.7306,-122.47579,1,"""1212012774
"
abgibo,37.74681,-122.47375,1,"""1212012120
"
abgibo,37.7306,-122.47579,1,"""1212012774
"
abgibo,37.75175,-122.46811,1,"""1212011873
"
abgibo,37.76181,-122.4662,1,"""1212011534
"
abgibo,37.76226,-122.46621,1,"""1212011502
"
