TaxiId,Latitude,Longitude,CLUSTER_ID
abjoolaw,37.75424,-122.47626,"114"
abjoolaw,37.72736,-122.4655,"235"
abjoolaw,37.72962,-122.4064,"281"
abjoolaw,37.72962,-122.4064,"281"
abjoolaw,37.75857,-122.46414,"275"
abjoolaw,37.7194,-122.43233,"56"
abjoolaw,37.77038,-122.45206,"404"
abjoolaw,37.7115,-122.44641,"90"
abjoolaw,37.74355,-122.42431,"414"
abjoolaw,37.78586,-122.45724,"107"
abjoolaw,37.79067,-122.47581,"222"
abjoolaw,37.7834,-122.45447,"363"
abjoolaw,37.78755,-122.4526,"290"
abjoolaw,37.76441,-122.459,"100"
abjoolaw,37.78024,-122.46743,"32"
abjoolaw,37.74101,-122.43163,"31"
abjoolaw,37.77862,-122.51379,"0"
abjoolaw,37.77862,-122.51378,"0"
abjoolaw,37.77196,-122.49916,"240"
abjoolaw,37.77132,-122.51039,"409"
abjoolaw,37.78597,-122.47952,"8"
abjoolaw,37.77981,-122.50918,"213"
abjoolaw,37.77276,-122.51,"409"
abjoolaw,37.7866,-122.45307,"290"
abmuyawm,37.77805,-122.46519,"374"
abmuyawm,37.78302,-122.46265,"232"
abmuyawm,37.78587,-122.48236,"8"
abmuyawm,37.78207,-122.48492,"263"
abmuyawm,37.76372,-122.50941,"429"
abmuyawm,37.77987,-122.50579,"402"
abmuyawm,37.77188,-122.50316,"55"
abmuyawm,37.76376,-122.47714,"21"
abmuyawm,37.783,-122.46267,"232"
abmuyawm,37.78308,-122.46313,"232"
abmuyawm,37.77277,-122.45423,"117"
abmuyawm,37.76972,-122.45365,"404"
abmuyawm,37.73183,-122.43607,"179"
abmuyawm,37.76462,-122.45266,"38"
abmuyawm,37.77726,-122.49314,"415"
abmuyawm,37.76696,-122.45308,"239"
abmuyawm,37.76367,-122.45199,"282"
abmuyawm,37.76422,-122.46579,"288"
abmuyawm,37.75708,-122.46694,"334"
abmuyawm,37.78653,-122.45346,"290"
abmuyawm,37.78748,-122.45276,"290"
abmuyawm,37.7756,-122.47471,"247"
abmuyawm,37.79432,-122.47998,"426"
abmuyawm,37.77999,-122.48456,"314"
abmuyawm,37.78074,-122.49233,"205"
abmuyawm,37.76113,-122.50705,"26"
abmuyawm,37.78333,-122.46121,"251"
abmuyawm,37.7742,-122.46372,"138"
abmuyawm,37.76417,-122.46383,"288"
abmuyawm,37.76509,-122.46421,"288"
abmuyawm,37.7659,-122.45688,"243"
abmuyawm,37.76591,-122.45671,"243"
abmuyawm,37.7659,-122.45688,"243"
abmuyawm,37.78046,-122.45513,"273"
abmuyawm,37.7787,-122.45182,"14"
abmuyawm,37.72607,-122.42516,"305"
abmuyawm,37.72208,-122.44543,"207"
abmuyawm,37.71668,-122.44989,"69"
abmuyawm,37.71741,-122.44196,"28"
abmuyawm,37.74376,-122.42624,"257"
abmuyawm,37.73741,-122.42337,"63"
abmuyawm,37.76493,-122.45723,"243"
abmuyawm,37.76466,-122.46416,"288"
abmuyawm,37.78125,-122.4827,"164"
abmuyawm,37.72009,-122.44703,"207"
abmuyawm,37.77186,-122.49677,"165"
abmuyawm,37.78306,-122.48397,"263"
abmuyawm,37.78393,-122.48181,"8"
abmuyawm,37.78502,-122.45682,"107"
abmuyawm,37.74458,-122.42052,"419"
abmuyawm,37.73387,-122.40605,"123"
abmuyawm,37.74361,-122.42778,"257"
abmuyawm,37.71754,-122.45036,"69"
abmuyawm,37.7175,-122.45044,"69"
abmuyawm,37.71855,-122.4515,"69"
abmuyawm,37.71626,-122.44049,"28"
abmuyawm,37.71526,-122.435,"109"
abmuyawm,37.72372,-122.40858,"267"
abmuyawm,37.72518,-122.41342,"368"
abmuyawm,37.78636,-122.45373,"290"
abmuyawm,37.74854,-122.47595,"427"
abmuyawm,37.74558,-122.47567,"22"
abmuyawm,37.76347,-122.45693,"243"
abmuyawm,37.77525,-122.46877,"126"
abmuyawm,37.79061,-122.48092,"406"
abmuyawm,37.71689,-122.44097,"28"
abmuyawm,37.77947,-122.46618,"32"
abmuyawm,37.73374,-122.40335,"262"
abmuyawm,37.78118,-122.45986,"102"
abmuyawm,37.74224,-122.42194,"124"
abmuyawm,37.74323,-122.42135,"124"
abmuyawm,37.77549,-122.4588,"311"
abmuyawm,37.7825,-122.45905,"251"
abmuyawm,37.77518,-122.45206,"220"
abmuyawm,37.76913,-122.45352,"239"
abmuyawm,37.76418,-122.45238,"282"
abmuyawm,37.76375,-122.45715,"243"
abmuyawm,37.76925,-122.4531,"404"
abmuyawm,37.79062,-122.45962,"227"
abmuyawm,37.78611,-122.4563,"107"
abmuyawm,37.73046,-122.38806,"367"
abmuyawm,37.78044,-122.45627,"273"
abmuyawm,37.78128,-122.46093,"102"
abmuyawm,37.7482,-122.47179,"389"
abmuyawm,37.75398,-122.46565,"212"
abmuyawm,37.78073,-122.46431,"232"
abmuyawm,37.77869,-122.45876,"102"
abmuyawm,37.77981,-122.48731,"161"
abmuyawm,37.78186,-122.46449,"232"
abmuyawm,37.78594,-122.45733,"107"
abmuyawm,37.78605,-122.45656,"107"
abmuyawm,37.73611,-122.42375,"326"
abmuyawm,37.72233,-122.4365,"169"
abmuyawm,37.77805,-122.48459,"50"
abmuyawm,37.76254,-122.50171,"59"
abmuyawm,37.76163,-122.48988,"145"
abmuyawm,37.72087,-122.47627,"74"
abmuyawm,37.70963,-122.41823,"54"
abmuyawm,37.71331,-122.40502,"172"
abmuyawm,37.74264,-122.42023,"124"
abmuyawm,37.74136,-122.50575,"196"
abmuyawm,37.7765,-122.4608,"321"
abmuyawm,37.76322,-122.45879,"100"
abmuyawm,37.7748,-122.45318,"220"
abmuyawm,37.77508,-122.45275,"220"
abmuyawm,37.78121,-122.45762,"273"
abmuyawm,37.78186,-122.49129,"43"
abmuyawm,37.73226,-122.46452,"73"
abmuyawm,37.75584,-122.48284,"394"
abmuyawm,37.75504,-122.48077,"371"
abmuyawm,37.76305,-122.45654,"243"
abmuyawm,37.7621,-122.45911,"100"
abmuyawm,37.74404,-122.41876,"4"
abmuyawm,37.74406,-122.43343,"210"
abmuyawm,37.73148,-122.44672,"377"
abmuyawm,37.78087,-122.46542,"32"
abmuyawm,37.78316,-122.46095,"251"
abmuyawm,37.76091,-122.48663,"420"
abmuyawm,37.76628,-122.45298,"38"
abmuyawm,37.76646,-122.45289,"38"
abmuyawm,37.7815,-122.4544,"363"
abmuyawm,37.77819,-122.46405,"321"
abmuyawm,37.79815,-122.45991,"92"
abmuyawm,37.74671,-122.4758,"22"
abmuyawm,37.74736,-122.47927,"342"
abmuyawm,37.76413,-122.46434,"288"
abmuyawm,37.76027,-122.46808,"352"
abmuyawm,37.79262,-122.47883,"426"
abmuyawm,37.78431,-122.46781,"157"
abmuyawm,37.77996,-122.49875,"134"
abmuyawm,37.76348,-122.45792,"100"
abmuyawm,37.73147,-122.45564,"385"
abmuyawm,37.77305,-122.45349,"117"
abmuyawm,37.76901,-122.45345,"239"
abmuyawm,37.76357,-122.45692,"243"
abmuyawm,37.77442,-122.45466,"220"
abmuyawm,37.78135,-122.46521,"32"
abmuyawm,37.77059,-122.46873,"323"
abmuyawm,37.77072,-122.46859,"323"
abmuyawm,37.77059,-122.46873,"323"
abmuyawm,37.77114,-122.46801,"323"
abmuyawm,37.77059,-122.46873,"323"
abmuyawm,37.7233,-122.43194,"341"
abmuyawm,37.7811,-122.45968,"102"
abmuyawm,37.76218,-122.45215,"282"
abmuyawm,37.78229,-122.45435,"363"
abmuyawm,37.78624,-122.45534,"107"
abmuyawm,37.74242,-122.47577,"201"
abmuyawm,37.78031,-122.49555,"344"
abmuyawm,37.78002,-122.49439,"344"
