StopId,Latitude,Longitude,count
198,37.76490168880454,-122.41776028462998,527
199,37.776419865384625,-122.3932287115385,520
200,37.785788604368996,-122.43050754854367,824
201,37.76076880000001,-122.43696416666675,300
202,37.77014363636364,-122.3896424242424,33
203,37.7500605952381,-122.44529154761906,84
204,37.76911351219512,-122.41324487804876,410
205,37.7904519298246,-122.39028941520458,855
206,37.75923340659345,-122.42560439560441,182
207,37.78273878378381,-122.42330630630629,666
208,37.76151258620689,-122.45073965517243,58
209,37.759933979135596,-122.42135405365136,671
210,37.76067156862746,-122.39752666666672,102
211,37.74579076923077,-122.39056384615384,13
212,37.78714810543654,-122.44655678747931,607
213,37.75560655844157,-122.43992493506501,154
214,37.752598433734946,-122.39757036144579,83
215,37.79962973175971,-122.44259746781132,932
216,37.780439132307734,-122.41225381538459,1625
217,37.806673508858324,-122.42034844980313,2032
218,37.749596792452806,-122.41616150943405,318
219,37.74968608247424,-122.44023412371139,97
220,37.7582371244635,-122.41246553648074,233
221,37.765562738853475,-122.39673617834386,157
222,37.77672349847094,-122.39542688685002,3270
223,37.75145656660408,-122.43401712945587,533
224,37.74606489795917,-122.4009585714286,49
225,37.76556338983055,-122.4073946101696,295
226,37.79917353852427,-122.43586726049736,2453
227,37.78662598889366,-122.41465650149524,2341
228,37.785293143418464,-122.38923396856583,509
229,37.77556345930234,-122.39742816860472,344
230,37.749471794871795,-122.40296273504278,117
231,37.79532909378299,-122.41852018967332,949
232,37.80619625,-122.42754763888883,72
233,37.76494762376238,-122.38731495049501,101
234,37.78941044923938,-122.40790842412461,5654
235,37.79768883977899,-122.39734992265186,905
236,37.78504426243041,-122.40884406849608,4847
237,37.748416000000006,-122.45127299999999,10
238,37.77079518518519,-122.45064481481484,243
239,37.75817511627906,-122.44639813953486,86
240,37.789149417475755,-122.39544403451984,927
241,37.748902727272736,-122.3874018181818,11
242,37.767646207627095,-122.42450031779663,472
243,37.77707429522758,-122.40371219755832,901
244,37.788589554655886,-122.44664024291504,247
245,37.80452856164385,-122.44812369863013,146
246,37.75525192468619,-122.43437267782423,239
247,37.79718624877084,-122.43497194198616,2034
248,37.80814347742557,-122.41550551392895,1041
249,37.749112,-122.43381289999994,100
250,37.79223110192839,-122.44245402203856,363
251,37.785307079416576,-122.40020458022664,3085
252,37.74664771084337,-122.43536289156621,83
253,37.78760880433199,-122.40802016173272,6925
254,37.75661897435898,-122.4026015384616,78
255,37.76577638121542,-122.4311779419891,724
256,37.80511783261806,-122.41275049356216,932
257,37.7528483712121,-122.42309840909084,264
258,37.78902325163397,-122.43665031045751,612
259,37.76239120953992,-122.43505580068152,2348
260,37.77748168927251,-122.40876049321815,811
261,37.760512625000004,-122.40052075000001,80
262,37.767121959183655,-122.44716804081631,245
263,37.80832404422458,-122.40990477451318,3437
264,37.74686960784316,-122.42337458823526,255
265,37.775416623876815,-122.4097288061619,779
266,37.7779761791045,-122.43606591044768,335
267,37.7952935151515,-122.42355941991346,1155
268,37.778567623762385,-122.43358249999997,404
269,37.78056882454626,-122.39096970613677,1157
270,37.77695545098039,-122.39941372549025,255
271,37.79854120496894,-122.4020091925467,805
272,37.7997667155756,-122.4130499435666,886
273,37.794690523255795,-122.4073018217055,516
274,37.755585633802774,-122.41676999999994,284
275,37.78248921965315,-122.42738965317926,346
276,37.766868857142846,-122.43991742857136,105
277,37.787557844444414,-122.44316402222225,450
278,37.78456,-122.44929999999997,93
279,37.756321742424234,-122.44269583333335,132
280,37.79824179524155,-122.42464098053374,1387
281,37.798096098868335,-122.42788070875534,1679
282,37.800485915161076,-122.43705747839748,2546
283,37.786927470725985,-122.45060346604218,427
284,37.78979449344465,-122.40555834723887,2517
285,37.7912744766147,-122.41520624350406,1347
286,37.799526561328356,-122.40862895018753,3734
287,37.793525820056225,-122.41388138706667,1067
288,37.746109090909094,-122.44257609090909,110
289,37.804506387900354,-122.40315346975086,562
290,37.748968547579324,-122.41816734557602,599
291,37.78675462991177,-122.41279822418512,3283
292,37.79327885758996,-122.43034849765249,639
293,37.78752623885917,-122.42687698752233,561
294,37.77841471910112,-122.44434258426959,178
295,37.77829624024962,-122.43850078003119,641
296,37.805204527027016,-122.43488851351351,148
297,37.8102775,-122.36744999999999,4
298,37.77418728991597,-122.43057867647055,476
299,37.774568523985245,-122.4427482656826,271
300,37.76161389473685,-122.44592900000002,190
301,37.7963522580645,-122.43953396313364,217
302,37.769325961070585,-122.42237306569344,822
303,37.79647519788918,-122.40442664907633,1516
304,37.78483395555557,-122.43806664444433,450
305,37.80031117402791,-122.41043773876964,2649
306,37.74599346534651,-122.42936940594066,101
307,37.748375031446535,-122.40811830188682,159
308,37.78997817509249,-122.4260598766954,811
309,37.75601519801976,-122.40943960396032,202
310,37.7741373292559,-122.41244953109086,981
311,37.750059784172684,-122.39501241007193,278
312,37.76087280098281,-122.43177719901729,407
313,37.79114296260784,-122.39277312559929,1043
314,37.75175526785715,-122.43865089285713,112
315,37.77424212121211,-122.40367959595953,594
316,37.74994064814816,-122.44271953703698,108
317,37.79547533078879,-122.4303276844785,786
318,37.804543350785345,-122.44397905759155,191
319,37.80191977443612,-122.42025469924813,532
320,37.75392083333333,-122.45057499999997,12
321,37.76421103225806,-122.40409109677421,155
322,37.76240975021537,-122.42165857019832,1161
323,37.799187188571466,-122.41651348571426,875
324,37.76768852071006,-122.4067649112426,338
325,37.766341543624165,-122.40178308724829,149
326,37.80378875621894,-122.43258664179115,402
327,37.76487736559138,-122.39871516129028,186
328,37.78941871647509,-122.44015477011509,522
329,37.79065754192228,-122.42061949693233,2445
330,37.78299672552167,-122.41810597913327,1246
331,37.75752253781512,-122.42113092436978,595
332,37.80009143884895,-122.43928768984821,1251
