block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_9794,15235,0,Cow Palace,175724,2_merged_9191500,9065006
b_901,15235,0,Cow Palace,175724,2_merged_9191500,9065005
b_907,15235,0,Cow Palace,175724,2_merged_9191500,9065004
b_904,15235,0,Cow Palace,175724,2_merged_9191500,9065003
b_9105,15235,0,Cow Palace,175724,2_merged_9191500,9065002
b_9107,15235,0,Cow Palace,175724,2_merged_9191500,9065001
b_9794,15235,0,Cow Palace,175724,2_merged_9191500,9065000
b_4510,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096580
b_4508,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096581
b_4506,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096582
b_4504,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096583
b_4507,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096584
b_4503,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096585
b_9105,15235,0,Cow Palace,175724,2_merged_9191500,9065009
b_9107,15235,0,Cow Palace,175724,2_merged_9191500,9065008
a_9592,15079,1,JONE&BEACH,174307,3_merged_9191496,9010229
a_9593,15079,1,JONE&BEACH,174307,3_merged_9191496,9010228
b_704,15230,1,Transit Center,175712,3_merged_9191499,9060695
b_4704,15271,0,Caltrain Depot,175892,3_merged_9191499,9098144
a_9591,15079,0,Wawona + 46th Avenue,174306,3_merged_9191496,9010223
a_9595,15079,0,Wawona + 46th Avenue,174305,3_merged_9191496,9010222
a_9592,15079,0,Wawona + 46th Avenue,174305,3_merged_9191496,9010221
a_9593,15079,0,Wawona + 46th Avenue,174305,3_merged_9191496,9010220
a_9594,15079,1,JONE&BEACH,174307,3_merged_9191496,9010227
a_9591,15079,1,JONE&BEACH,174307,3_merged_9191496,9010226
a_2904,15079,1,Ferry Plaza,174308,3_merged_9191496,9010225
a_9594,15079,0,Wawona + 46th Avenue,174304,3_merged_9191496,9010224
a_9501,15078,1,Embarcadero Station,174301,2_merged_9191497,9008459
a_9503,15078,1,Embarcadero Station,174301,2_merged_9191497,9008458
b_9714,15306,1,Church + Duboce,176138,2_merged_9191500,9125051
b_4509,15270,1,Caltrain Depot,175889,3_merged_9191499,9097180
b_4504,15270,1,Caltrain Depot,175889,3_merged_9191499,9097187
b_9710,15306,1,Church + Duboce,176138,2_merged_9191500,9125056
b_705,15230,0,Great Highway,175711,3_merged_9191499,9060639
b_706,15230,0,Great Highway,175711,3_merged_9191499,9060638
a_9505,15078,1,Embarcadero Station,174301,2_merged_9191497,9008451
a_9502,15078,1,Embarcadero Station,174301,2_merged_9191497,9008450
a_9506,15078,1,23rd St & Third St,174302,2_merged_9191497,9008453
a_9503,15078,1,Embarcadero Station,174301,2_merged_9191497,9008452
a_9508,15078,1,Embarcadero Station,174301,2_merged_9191497,9008455
a_9507,15078,1,Embarcadero Station,174301,2_merged_9191497,9008454
a_9504,15078,1,Embarcadero Station,174301,2_merged_9191497,9008457
a_9509,15078,1,Embarcadero Station,174301,2_merged_9191497,9008456
b_4501,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096632
b_4513,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096633
b_4510,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096630
b_4702,15271,0,Caltrain Depot,175892,3_merged_9191499,9098149
b_4507,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096636
b_4503,15270,0,Lyon + Greenwich,175886,1_merged_9191498,9096637
