route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
CALIFORNIA,3,,,SFMTA,15002,https://SFMTA.com/1,,1
HAIGHT-PARNASSUS,3,,,SFMTA,15009,https://SFMTA.com/6,,6
FULTON RAPID,3,,,SFMTA,15008,https://SFMTA.com/5R,,5R
BRYANT,3,,,SFMTA,15249,https://SFMTA.com/27,,27
TREASURE ISLAND,3,,,SFMTA,15248,https://SFMTA.com/25,,25
MISSION EXPRESS,3,,,SFMTA,15241,https://SFMTA.com/14X,,14X
MISSION RAPID,3,,,SFMTA,15240,https://SFMTA.com/14R,,14R
POLK,3,,,SFMTA,15243,https://SFMTA.com/19,,19
46TH AVENUE,3,,,SFMTA,15242,https://SFMTA.com/18,,18
FILLMORE,3,,,SFMTA,15245,https://SFMTA.com/22,,22
HAYES,3,,,SFMTA,15244,https://SFMTA.com/21,,21
DIVISADERO,3,,,SFMTA,15247,https://SFMTA.com/24,,24
MONTEREY,3,,,SFMTA,15246,https://SFMTA.com/23,,23
HAIGHT-NORIEGA,3,,,SFMTA,15010,https://SFMTA.com/7,,7
NORIEGA EXPRESS,3,,,SFMTA,15011,https://SFMTA.com/7X,,7X
BAYSHORE,3,,,SFMTA,15012,https://SFMTA.com/8,,8
BAYSHORE A EXPRESS,3,,,SFMTA,15013,https://SFMTA.com/8AX,,8AX
BAYSHORE B EXPRESS,3,,,SFMTA,15014,https://SFMTA.com/8BX,,8BX
SAN BRUNO,3,,,SFMTA,15015,https://SFMTA.com/9,,9
SAN BRUNO RAPID,3,,,SFMTA,15016,https://SFMTA.com/9R,,9R
TOWNSEND,3,,,SFMTA,15017,https://SFMTA.com/10,,10
FOLSOM-PACIFIC,3,,,SFMTA,15018,https://SFMTA.com/12,,12
MISSION,3,,,SFMTA,15019,https://SFMTA.com/14,,14
ASHBURY-18TH ST,3,,,SFMTA,15258,https://SFMTA.com/33,,33
EUREKA,3,,,SFMTA,15259,https://SFMTA.com/35,,35
SUNSET,3,,,SFMTA,15252,https://SFMTA.com/29,,29
19TH AVENUE,3,,,SFMTA,15250,https://SFMTA.com/28,,28
19TH AVENUE RAPID,3,,,SFMTA,15251,https://SFMTA.com/28R,,28R
BALBOA A EXPRESS,3,,,SFMTA,15256,https://SFMTA.com/31AX,,31AX
BALBOA B EXPRESS,3,,,SFMTA,15257,https://SFMTA.com/31BX,,31BX
MARINA EXPRESS,3,,,SFMTA,15254,https://SFMTA.com/30X,,30X
BALBOA,3,,,SFMTA,15255,https://SFMTA.com/31,,31
BAYSHORE B EXPRESS,3,,,SFMTA,15234,https://SFMTA.com/8BX,,8BX
SAN BRUNO,3,,,SFMTA,15235,https://SFMTA.com/9,,9
SAN BRUNO RAPID,3,,,SFMTA,15236,https://SFMTA.com/9R,,9R
GEARY,3,,,SFMTA,15262,https://SFMTA.com/38,,38
TOWNSEND,3,,,SFMTA,15237,https://SFMTA.com/10,,10
HAIGHT-NORIEGA,3,,,SFMTA,15230,https://SFMTA.com/7,,7
NORIEGA EXPRESS,3,,,SFMTA,15231,https://SFMTA.com/7X,,7X
UNION,3,,,SFMTA,15267,https://SFMTA.com/41,,41
COIT,3,,,SFMTA,15266,https://SFMTA.com/39,,39
GEARY RAPID,3,,,SFMTA,15265,https://SFMTA.com/38R,,38R
GEARY B EXPRESS,3,,,SFMTA,15264,https://SFMTA.com/38BX,,38BX
GEARY A EXPRESS,3,,,SFMTA,15263,https://SFMTA.com/38AX,,38AX
BAYSHORE,3,,,SFMTA,15232,https://SFMTA.com/8,,8
CORBETT,3,,,SFMTA,15261,https://SFMTA.com/37,,37
TERESITA,3,,,SFMTA,15260,https://SFMTA.com/36,,36
BAYSHORE A EXPRESS,3,,,SFMTA,15233,https://SFMTA.com/8AX,,8AX
O'SHAUGHNESSY,3,,,SFMTA,15269,https://SFMTA.com/44,,44
MASONIC,3,,,SFMTA,15268,https://SFMTA.com/43,,43
CALTRAIN EXPRESS,3,,,SFMTA,15065,https://SFMTA.com/81X,,81X
MARIN HEADLANDS EXPRESS,3,,,SFMTA,15064,https://SFMTA.com/76X,,76X
MID-MARKET EXPRESS,3,,,SFMTA,15067,https://SFMTA.com/83X,,83X
LEVI PLAZA EXPRESS,3,,,SFMTA,15066,https://SFMTA.com/82X,,82X
CALIFORNIA STREET CABLE CAR,5,,,SFMTA,15061,https://SFMTA.com/C,,C
POWELL-HYDE CABLE CAR,5,,,SFMTA,15060,https://SFMTA.com/PH,,PH
BERNAL HEIGHTS,3,,,SFMTA,15063,https://SFMTA.com/67,,67
QUINTARA,3,,,SFMTA,15062,https://SFMTA.com/66,,66
OCEANVIEW,0,,,SFMTA,15304,https://SFMTA.com/M,,M
JUDAH,0,,,SFMTA,15306,https://SFMTA.com/N,,N
OWL JUDAH,3,,,SFMTA,15307,https://SFMTA.com/N-OWL,,N-OWL
SAN BRUNO OWL,3,,,SFMTA,15069,https://SFMTA.com/90,,90
BART SHUTTLE,3,,,SFMTA,15068,https://SFMTA.com/88,,88
CALIFORNIA A EXPRESS,3,,,SFMTA,15223,https://SFMTA.com/1AX,,1AX
CALIFORNIA A EXPRESS,3,,,SFMTA,15444,https://SFMTA.com/1AX,,1AX
JUDAH BUS,3,,,SFMTA,15443,https://SFMTA.com/NBUS,,NBUS
OCEANVIEW BUS,3,,,SFMTA,15442,https://SFMTA.com/MBUS,,MBUS
TARAVAL BUS,3,,,SFMTA,15441,https://SFMTA.com/LBUS,,LBUS
CALIFORNIA,3,,,SFMTA,15222,https://SFMTA.com/1,,1
UNION-STOCKTON,3,,,SFMTA,15270,https://SFMTA.com/45,,45
VAN NESS,3,,,SFMTA,15271,https://SFMTA.com/47,,47
QUINTARA-24TH STREET,3,,,SFMTA,15272,https://SFMTA.com/48,,48
VAN NESS-MISSION,3,,,SFMTA,15273,https://SFMTA.com/49,,49
EXCELSIOR,3,,,SFMTA,15274,https://SFMTA.com/52,,52
FELTON,3,,,SFMTA,15275,https://SFMTA.com/54,,54
16TH STREET,3,,,SFMTA,15276,https://SFMTA.com/55,,55
RUTLAND,3,,,SFMTA,15277,https://SFMTA.com/56,,56
PARKMERCED,3,,,SFMTA,15278,https://SFMTA.com/57,,57
POWELL-MASON CABLE CAR,5,,,SFMTA,15279,https://SFMTA.com/PM,,PM
EXPRESS,3,,,SFMTA,15309,https://SFMTA.com/NX,,NX
OWL INGLESIDE,3,,,SFMTA,15076,https://SFMTA.com/K-OWL,,K-OWL
INGLESIDE-THIRD,0,,,SFMTA,15077,https://SFMTA.com/KT,,KT
MARKET & WHARVES,0,,,SFMTA,15074,https://SFMTA.com/F,,F
CHURCH,0,,,SFMTA,15075,https://SFMTA.com/J,,J
3RD-19TH AVE OWL,3,,,SFMTA,15070,https://SFMTA.com/91,,91
BART EARLY BIRD,3,,,SFMTA,15071,https://SFMTA.com/714,,714
TARAVAL,0,,,SFMTA,15078,https://SFMTA.com/L,,L
OWL TARAVAL,3,,,SFMTA,15079,https://SFMTA.com/L-OWL,,L-OWL
HAIGHT-PARNASSUS,3,,,SFMTA,15229,https://SFMTA.com/6,,6
